MTU,Out Area,In Area,Physical Flow (MW)
21/04/2021 18:00:00 - 21/04/2021 19:00:00,BZN|FR,BZN|GB(IFA2),0.00
21/04/2021 18:00:00 - 21/04/2021 19:00:00,BZN|GB(IFA2),BZN|FR,0.00
21/04/2021 19:00:00 - 21/04/2021 20:00:00,BZN|FR,BZN|GB(IFA2),0.00
21/04/2021 19:00:00 - 21/04/2021 20:00:00,BZN|GB(IFA2),BZN|FR,0.00
21/04/2021 20:00:00 - 21/04/2021 21:00:00,BZN|FR,BZN|GB(IFA2),0.00
21/04/2021 20:00:00 - 21/04/2021 21:00:00,BZN|GB(IFA2),BZN|FR,0.00
21/04/2021 21:00:00 - 21/04/2021 22:00:00,BZN|FR,BZN|GB(IFA2),0.00
21/04/2021 21:00:00 - 21/04/2021 22:00:00,BZN|GB(IFA2),BZN|FR,0.00
21/04/2021 22:00:00 - 21/04/2021 23:00:00,BZN|FR,BZN|GB(IFA2),0.00
21/04/2021 22:00:00 - 21/04/2021 23:00:00,BZN|GB(IFA2),BZN|FR,0.00
21/04/2021 23:00:00 - 22/04/2021 00:00:00,BZN|FR,BZN|GB(IFA2),0.00
21/04/2021 23:00:00 - 22/04/2021 00:00:00,BZN|GB(IFA2),BZN|FR,0.00
22/04/2021 00:00:00 - 22/04/2021 01:00:00,BZN|FR,BZN|GB(IFA2),0.00
22/04/2021 00:00:00 - 22/04/2021 01:00:00,BZN|GB(IFA2),BZN|FR,0.00
22/04/2021 01:00:00 - 22/04/2021 02:00:00,BZN|FR,BZN|GB(IFA2),0.00
22/04/2021 01:00:00 - 22/04/2021 02:00:00,BZN|GB(IFA2),BZN|FR,0.00
22/04/2021 02:00:00 - 22/04/2021 03:00:00,BZN|FR,BZN|GB(IFA2),0.00
22/04/2021 02:00:00 - 22/04/2021 03:00:00,BZN|GB(IFA2),BZN|FR,0.00
22/04/2021 03:00:00 - 22/04/2021 04:00:00,BZN|FR,BZN|GB(IFA2),0.00
22/04/2021 03:00:00 - 22/04/2021 04:00:00,BZN|GB(IFA2),BZN|FR,0.00
22/04/2021 04:00:00 - 22/04/2021 05:00:00,BZN|FR,BZN|GB(IFA2),0.00
22/04/2021 04:00:00 - 22/04/2021 05:00:00,BZN|GB(IFA2),BZN|FR,0.00
22/04/2021 05:00:00 - 22/04/2021 06:00:00,BZN|FR,BZN|GB(IFA2),0.00
22/04/2021 05:00:00 - 22/04/2021 06:00:00,BZN|GB(IFA2),BZN|FR,0.00
22/04/2021 06:00:00 - 22/04/2021 07:00:00,BZN|FR,BZN|GB(IFA2),0.00
22/04/2021 06:00:00 - 22/04/2021 07:00:00,BZN|GB(IFA2),BZN|FR,0.00
22/04/2021 07:00:00 - 22/04/2021 08:00:00,BZN|FR,BZN|GB(IFA2),0.00
22/04/2021 07:00:00 - 22/04/2021 08:00:00,BZN|GB(IFA2),BZN|FR,0.00
22/04/2021 08:00:00 - 22/04/2021 09:00:00,BZN|FR,BZN|GB(IFA2),0.00
22/04/2021 08:00:00 - 22/04/2021 09:00:00,BZN|GB(IFA2),BZN|FR,0.00
22/04/2021 09:00:00 - 22/04/2021 10:00:00,BZN|FR,BZN|GB(IFA2),0.00
22/04/2021 09:00:00 - 22/04/2021 10:00:00,BZN|GB(IFA2),BZN|FR,0.00
22/04/2021 10:00:00 - 22/04/2021 11:00:00,BZN|FR,BZN|GB(IFA2),0.00
22/04/2021 10:00:00 - 22/04/2021 11:00:00,BZN|GB(IFA2),BZN|FR,0.00
22/04/2021 11:00:00 - 22/04/2021 12:00:00,BZN|FR,BZN|GB(IFA2),0.00
22/04/2021 11:00:00 - 22/04/2021 12:00:00,BZN|GB(IFA2),BZN|FR,0.00
22/04/2021 12:00:00 - 22/04/2021 13:00:00,BZN|FR,BZN|GB(IFA2),0.00
22/04/2021 12:00:00 - 22/04/2021 13:00:00,BZN|GB(IFA2),BZN|FR,0.00
22/04/2021 13:00:00 - 22/04/2021 14:00:00,BZN|FR,BZN|GB(IFA2),0.00
22/04/2021 13:00:00 - 22/04/2021 14:00:00,BZN|GB(IFA2),BZN|FR,0.00
22/04/2021 14:00:00 - 22/04/2021 15:00:00,BZN|FR,BZN|GB(IFA2),0.00
22/04/2021 14:00:00 - 22/04/2021 15:00:00,BZN|GB(IFA2),BZN|FR,0.00
22/04/2021 15:00:00 - 22/04/2021 16:00:00,BZN|FR,BZN|GB(IFA2),0.00
22/04/2021 15:00:00 - 22/04/2021 16:00:00,BZN|GB(IFA2),BZN|FR,0.00
22/04/2021 16:00:00 - 22/04/2021 17:00:00,BZN|FR,BZN|GB(IFA2),0.00
22/04/2021 16:00:00 - 22/04/2021 17:00:00,BZN|GB(IFA2),BZN|FR,0.00
22/04/2021 17:00:00 - 22/04/2021 18:00:00,BZN|FR,BZN|GB(IFA2),0.00
22/04/2021 17:00:00 - 22/04/2021 18:00:00,BZN|GB(IFA2),BZN|FR,0.00
22/04/2021 18:00:00 - 22/04/2021 19:00:00,BZN|FR,BZN|GB(IFA2),0.00
22/04/2021 18:00:00 - 22/04/2021 19:00:00,BZN|GB(IFA2),BZN|FR,0.00
22/04/2021 19:00:00 - 22/04/2021 20:00:00,BZN|FR,BZN|GB(IFA2),0.00
22/04/2021 19:00:00 - 22/04/2021 20:00:00,BZN|GB(IFA2),BZN|FR,0.00
22/04/2021 20:00:00 - 22/04/2021 21:00:00,BZN|FR,BZN|GB(IFA2),0.00
22/04/2021 20:00:00 - 22/04/2021 21:00:00,BZN|GB(IFA2),BZN|FR,0.00
22/04/2021 21:00:00 - 22/04/2021 22:00:00,BZN|FR,BZN|GB(IFA2),0.00
22/04/2021 21:00:00 - 22/04/2021 22:00:00,BZN|GB(IFA2),BZN|FR,0.00
22/04/2021 22:00:00 - 22/04/2021 23:00:00,BZN|FR,BZN|GB(IFA2),0.00
22/04/2021 22:00:00 - 22/04/2021 23:00:00,BZN|GB(IFA2),BZN|FR,0.00
22/04/2021 23:00:00 - 23/04/2021 00:00:00,BZN|FR,BZN|GB(IFA2),0.00
22/04/2021 23:00:00 - 23/04/2021 00:00:00,BZN|GB(IFA2),BZN|FR,0.00
23/04/2021 00:00:00 - 23/04/2021 01:00:00,BZN|FR,BZN|GB(IFA2),0.00
23/04/2021 00:00:00 - 23/04/2021 01:00:00,BZN|GB(IFA2),BZN|FR,0.00
23/04/2021 01:00:00 - 23/04/2021 02:00:00,BZN|FR,BZN|GB(IFA2),0.00
23/04/2021 01:00:00 - 23/04/2021 02:00:00,BZN|GB(IFA2),BZN|FR,0.00
23/04/2021 02:00:00 - 23/04/2021 03:00:00,BZN|FR,BZN|GB(IFA2),0.00
23/04/2021 02:00:00 - 23/04/2021 03:00:00,BZN|GB(IFA2),BZN|FR,0.00
23/04/2021 03:00:00 - 23/04/2021 04:00:00,BZN|FR,BZN|GB(IFA2),0.00
23/04/2021 03:00:00 - 23/04/2021 04:00:00,BZN|GB(IFA2),BZN|FR,0.00
23/04/2021 04:00:00 - 23/04/2021 05:00:00,BZN|FR,BZN|GB(IFA2),0.00
23/04/2021 04:00:00 - 23/04/2021 05:00:00,BZN|GB(IFA2),BZN|FR,0.00
23/04/2021 05:00:00 - 23/04/2021 06:00:00,BZN|FR,BZN|GB(IFA2),0.00
23/04/2021 05:00:00 - 23/04/2021 06:00:00,BZN|GB(IFA2),BZN|FR,0.00
23/04/2021 06:00:00 - 23/04/2021 07:00:00,BZN|FR,BZN|GB(IFA2),0.00
23/04/2021 06:00:00 - 23/04/2021 07:00:00,BZN|GB(IFA2),BZN|FR,0.00
23/04/2021 07:00:00 - 23/04/2021 08:00:00,BZN|FR,BZN|GB(IFA2),0.00
23/04/2021 07:00:00 - 23/04/2021 08:00:00,BZN|GB(IFA2),BZN|FR,0.00
23/04/2021 08:00:00 - 23/04/2021 09:00:00,BZN|FR,BZN|GB(IFA2),0.00
23/04/2021 08:00:00 - 23/04/2021 09:00:00,BZN|GB(IFA2),BZN|FR,0.00
23/04/2021 09:00:00 - 23/04/2021 10:00:00,BZN|FR,BZN|GB(IFA2),0.00
23/04/2021 09:00:00 - 23/04/2021 10:00:00,BZN|GB(IFA2),BZN|FR,0.00
23/04/2021 10:00:00 - 23/04/2021 11:00:00,BZN|FR,BZN|GB(IFA2),0.00
23/04/2021 10:00:00 - 23/04/2021 11:00:00,BZN|GB(IFA2),BZN|FR,0.00
23/04/2021 11:00:00 - 23/04/2021 12:00:00,BZN|FR,BZN|GB(IFA2),0.00
23/04/2021 11:00:00 - 23/04/2021 12:00:00,BZN|GB(IFA2),BZN|FR,0.00
23/04/2021 12:00:00 - 23/04/2021 13:00:00,BZN|FR,BZN|GB(IFA2),0.00
23/04/2021 12:00:00 - 23/04/2021 13:00:00,BZN|GB(IFA2),BZN|FR,0.00
23/04/2021 13:00:00 - 23/04/2021 14:00:00,BZN|FR,BZN|GB(IFA2),0.00
23/04/2021 13:00:00 - 23/04/2021 14:00:00,BZN|GB(IFA2),BZN|FR,0.00
23/04/2021 14:00:00 - 23/04/2021 15:00:00,BZN|FR,BZN|GB(IFA2),0.00
23/04/2021 14:00:00 - 23/04/2021 15:00:00,BZN|GB(IFA2),BZN|FR,0.00
23/04/2021 15:00:00 - 23/04/2021 16:00:00,BZN|FR,BZN|GB(IFA2),0.00
23/04/2021 15:00:00 - 23/04/2021 16:00:00,BZN|GB(IFA2),BZN|FR,0.00
23/04/2021 16:00:00 - 23/04/2021 17:00:00,BZN|FR,BZN|GB(IFA2),0.00
23/04/2021 16:00:00 - 23/04/2021 17:00:00,BZN|GB(IFA2),BZN|FR,0.00
23/04/2021 17:00:00 - 23/04/2021 18:00:00,BZN|FR,BZN|GB(IFA2),0.00
23/04/2021 17:00:00 - 23/04/2021 18:00:00,BZN|GB(IFA2),BZN|FR,0.00
23/04/2021 18:00:00 - 23/04/2021 19:00:00,BZN|FR,BZN|GB(IFA2),0.00
23/04/2021 18:00:00 - 23/04/2021 19:00:00,BZN|GB(IFA2),BZN|FR,0.00
23/04/2021 19:00:00 - 23/04/2021 20:00:00,BZN|FR,BZN|GB(IFA2),0.00
23/04/2021 19:00:00 - 23/04/2021 20:00:00,BZN|GB(IFA2),BZN|FR,0.00
23/04/2021 20:00:00 - 23/04/2021 21:00:00,BZN|FR,BZN|GB(IFA2),0.00
23/04/2021 20:00:00 - 23/04/2021 21:00:00,BZN|GB(IFA2),BZN|FR,0.00
23/04/2021 21:00:00 - 23/04/2021 22:00:00,BZN|FR,BZN|GB(IFA2),0.00
23/04/2021 21:00:00 - 23/04/2021 22:00:00,BZN|GB(IFA2),BZN|FR,0.00
23/04/2021 22:00:00 - 23/04/2021 23:00:00,BZN|FR,BZN|GB(IFA2),0.00
23/04/2021 22:00:00 - 23/04/2021 23:00:00,BZN|GB(IFA2),BZN|FR,0.00
23/04/2021 23:00:00 - 24/04/2021 00:00:00,BZN|FR,BZN|GB(IFA2),0.00
23/04/2021 23:00:00 - 24/04/2021 00:00:00,BZN|GB(IFA2),BZN|FR,0.00
24/04/2021 00:00:00 - 24/04/2021 01:00:00,BZN|FR,BZN|GB(IFA2),0.00
24/04/2021 00:00:00 - 24/04/2021 01:00:00,BZN|GB(IFA2),BZN|FR,0.00
24/04/2021 01:00:00 - 24/04/2021 02:00:00,BZN|FR,BZN|GB(IFA2),0.00
24/04/2021 01:00:00 - 24/04/2021 02:00:00,BZN|GB(IFA2),BZN|FR,0.00
24/04/2021 02:00:00 - 24/04/2021 03:00:00,BZN|FR,BZN|GB(IFA2),0.00
24/04/2021 02:00:00 - 24/04/2021 03:00:00,BZN|GB(IFA2),BZN|FR,0.00
24/04/2021 03:00:00 - 24/04/2021 04:00:00,BZN|FR,BZN|GB(IFA2),0.00
24/04/2021 03:00:00 - 24/04/2021 04:00:00,BZN|GB(IFA2),BZN|FR,0.00
24/04/2021 04:00:00 - 24/04/2021 05:00:00,BZN|FR,BZN|GB(IFA2),0.00
24/04/2021 04:00:00 - 24/04/2021 05:00:00,BZN|GB(IFA2),BZN|FR,0.00
24/04/2021 05:00:00 - 24/04/2021 06:00:00,BZN|FR,BZN|GB(IFA2),0.00
24/04/2021 05:00:00 - 24/04/2021 06:00:00,BZN|GB(IFA2),BZN|FR,0.00
24/04/2021 06:00:00 - 24/04/2021 07:00:00,BZN|FR,BZN|GB(IFA2),0.00
24/04/2021 06:00:00 - 24/04/2021 07:00:00,BZN|GB(IFA2),BZN|FR,0.00
24/04/2021 07:00:00 - 24/04/2021 08:00:00,BZN|FR,BZN|GB(IFA2),0.00
24/04/2021 07:00:00 - 24/04/2021 08:00:00,BZN|GB(IFA2),BZN|FR,0.00
24/04/2021 08:00:00 - 24/04/2021 09:00:00,BZN|FR,BZN|GB(IFA2),0.00
24/04/2021 08:00:00 - 24/04/2021 09:00:00,BZN|GB(IFA2),BZN|FR,0.00
24/04/2021 09:00:00 - 24/04/2021 10:00:00,BZN|FR,BZN|GB(IFA2),0.00
24/04/2021 09:00:00 - 24/04/2021 10:00:00,BZN|GB(IFA2),BZN|FR,0.00
24/04/2021 10:00:00 - 24/04/2021 11:00:00,BZN|FR,BZN|GB(IFA2),0.00
24/04/2021 10:00:00 - 24/04/2021 11:00:00,BZN|GB(IFA2),BZN|FR,0.00
24/04/2021 11:00:00 - 24/04/2021 12:00:00,BZN|FR,BZN|GB(IFA2),0.00
24/04/2021 11:00:00 - 24/04/2021 12:00:00,BZN|GB(IFA2),BZN|FR,0.00
24/04/2021 12:00:00 - 24/04/2021 13:00:00,BZN|FR,BZN|GB(IFA2),0.00
24/04/2021 12:00:00 - 24/04/2021 13:00:00,BZN|GB(IFA2),BZN|FR,0.00
24/04/2021 13:00:00 - 24/04/2021 14:00:00,BZN|FR,BZN|GB(IFA2),0.00
24/04/2021 13:00:00 - 24/04/2021 14:00:00,BZN|GB(IFA2),BZN|FR,0.00
24/04/2021 14:00:00 - 24/04/2021 15:00:00,BZN|FR,BZN|GB(IFA2),0.00
24/04/2021 14:00:00 - 24/04/2021 15:00:00,BZN|GB(IFA2),BZN|FR,0.00
24/04/2021 15:00:00 - 24/04/2021 16:00:00,BZN|FR,BZN|GB(IFA2),0.00
24/04/2021 15:00:00 - 24/04/2021 16:00:00,BZN|GB(IFA2),BZN|FR,0.00
24/04/2021 16:00:00 - 24/04/2021 17:00:00,BZN|FR,BZN|GB(IFA2),0.00
24/04/2021 16:00:00 - 24/04/2021 17:00:00,BZN|GB(IFA2),BZN|FR,0.00
24/04/2021 17:00:00 - 24/04/2021 18:00:00,BZN|FR,BZN|GB(IFA2),0.00
24/04/2021 17:00:00 - 24/04/2021 18:00:00,BZN|GB(IFA2),BZN|FR,0.00
24/04/2021 18:00:00 - 24/04/2021 19:00:00,BZN|FR,BZN|GB(IFA2),0.00
24/04/2021 18:00:00 - 24/04/2021 19:00:00,BZN|GB(IFA2),BZN|FR,0.00
24/04/2021 19:00:00 - 24/04/2021 20:00:00,BZN|FR,BZN|GB(IFA2),0.00
24/04/2021 19:00:00 - 24/04/2021 20:00:00,BZN|GB(IFA2),BZN|FR,0.00
24/04/2021 20:00:00 - 24/04/2021 21:00:00,BZN|FR,BZN|GB(IFA2),0.00
24/04/2021 20:00:00 - 24/04/2021 21:00:00,BZN|GB(IFA2),BZN|FR,0.00
24/04/2021 21:00:00 - 24/04/2021 22:00:00,BZN|FR,BZN|GB(IFA2),0.00
24/04/2021 21:00:00 - 24/04/2021 22:00:00,BZN|GB(IFA2),BZN|FR,0.00
24/04/2021 22:00:00 - 24/04/2021 23:00:00,BZN|FR,BZN|GB(IFA2),0.00
24/04/2021 22:00:00 - 24/04/2021 23:00:00,BZN|GB(IFA2),BZN|FR,0.00
24/04/2021 23:00:00 - 25/04/2021 00:00:00,BZN|FR,BZN|GB(IFA2),0.00
24/04/2021 23:00:00 - 25/04/2021 00:00:00,BZN|GB(IFA2),BZN|FR,0.00
25/04/2021 00:00:00 - 25/04/2021 01:00:00,BZN|FR,BZN|GB(IFA2),0.00
25/04/2021 00:00:00 - 25/04/2021 01:00:00,BZN|GB(IFA2),BZN|FR,0.00
25/04/2021 01:00:00 - 25/04/2021 02:00:00,BZN|FR,BZN|GB(IFA2),0.00
25/04/2021 01:00:00 - 25/04/2021 02:00:00,BZN|GB(IFA2),BZN|FR,0.00
25/04/2021 02:00:00 - 25/04/2021 03:00:00,BZN|FR,BZN|GB(IFA2),0.00
25/04/2021 02:00:00 - 25/04/2021 03:00:00,BZN|GB(IFA2),BZN|FR,0.00
25/04/2021 03:00:00 - 25/04/2021 04:00:00,BZN|FR,BZN|GB(IFA2),0.00
25/04/2021 03:00:00 - 25/04/2021 04:00:00,BZN|GB(IFA2),BZN|FR,0.00
25/04/2021 04:00:00 - 25/04/2021 05:00:00,BZN|FR,BZN|GB(IFA2),0.00
25/04/2021 04:00:00 - 25/04/2021 05:00:00,BZN|GB(IFA2),BZN|FR,0.00
25/04/2021 05:00:00 - 25/04/2021 06:00:00,BZN|FR,BZN|GB(IFA2),0.00
25/04/2021 05:00:00 - 25/04/2021 06:00:00,BZN|GB(IFA2),BZN|FR,0.00
25/04/2021 06:00:00 - 25/04/2021 07:00:00,BZN|FR,BZN|GB(IFA2),0.00
25/04/2021 06:00:00 - 25/04/2021 07:00:00,BZN|GB(IFA2),BZN|FR,0.00
25/04/2021 07:00:00 - 25/04/2021 08:00:00,BZN|FR,BZN|GB(IFA2),0.00
25/04/2021 07:00:00 - 25/04/2021 08:00:00,BZN|GB(IFA2),BZN|FR,0.00
25/04/2021 08:00:00 - 25/04/2021 09:00:00,BZN|FR,BZN|GB(IFA2),0.00
25/04/2021 08:00:00 - 25/04/2021 09:00:00,BZN|GB(IFA2),BZN|FR,0.00
25/04/2021 09:00:00 - 25/04/2021 10:00:00,BZN|FR,BZN|GB(IFA2),0.00
25/04/2021 09:00:00 - 25/04/2021 10:00:00,BZN|GB(IFA2),BZN|FR,0.00
25/04/2021 10:00:00 - 25/04/2021 11:00:00,BZN|FR,BZN|GB(IFA2),0.00
25/04/2021 10:00:00 - 25/04/2021 11:00:00,BZN|GB(IFA2),BZN|FR,0.00
25/04/2021 11:00:00 - 25/04/2021 12:00:00,BZN|FR,BZN|GB(IFA2),0.00
25/04/2021 11:00:00 - 25/04/2021 12:00:00,BZN|GB(IFA2),BZN|FR,0.00
25/04/2021 12:00:00 - 25/04/2021 13:00:00,BZN|FR,BZN|GB(IFA2),0.00
25/04/2021 12:00:00 - 25/04/2021 13:00:00,BZN|GB(IFA2),BZN|FR,0.00
25/04/2021 13:00:00 - 25/04/2021 14:00:00,BZN|FR,BZN|GB(IFA2),0.00
25/04/2021 13:00:00 - 25/04/2021 14:00:00,BZN|GB(IFA2),BZN|FR,0.00
25/04/2021 14:00:00 - 25/04/2021 15:00:00,BZN|FR,BZN|GB(IFA2),0.00
25/04/2021 14:00:00 - 25/04/2021 15:00:00,BZN|GB(IFA2),BZN|FR,0.00
25/04/2021 15:00:00 - 25/04/2021 16:00:00,BZN|FR,BZN|GB(IFA2),0.00
25/04/2021 15:00:00 - 25/04/2021 16:00:00,BZN|GB(IFA2),BZN|FR,0.00
25/04/2021 16:00:00 - 25/04/2021 17:00:00,BZN|FR,BZN|GB(IFA2),0.00
25/04/2021 16:00:00 - 25/04/2021 17:00:00,BZN|GB(IFA2),BZN|FR,0.00
25/04/2021 17:00:00 - 25/04/2021 18:00:00,BZN|FR,BZN|GB(IFA2),0.00
25/04/2021 17:00:00 - 25/04/2021 18:00:00,BZN|GB(IFA2),BZN|FR,0.00
25/04/2021 18:00:00 - 25/04/2021 19:00:00,BZN|FR,BZN|GB(IFA2),0.00
25/04/2021 18:00:00 - 25/04/2021 19:00:00,BZN|GB(IFA2),BZN|FR,0.00
25/04/2021 19:00:00 - 25/04/2021 20:00:00,BZN|FR,BZN|GB(IFA2),0.00
25/04/2021 19:00:00 - 25/04/2021 20:00:00,BZN|GB(IFA2),BZN|FR,0.00
25/04/2021 20:00:00 - 25/04/2021 21:00:00,BZN|FR,BZN|GB(IFA2),0.00
25/04/2021 20:00:00 - 25/04/2021 21:00:00,BZN|GB(IFA2),BZN|FR,0.00
25/04/2021 21:00:00 - 25/04/2021 22:00:00,BZN|FR,BZN|GB(IFA2),0.00
25/04/2021 21:00:00 - 25/04/2021 22:00:00,BZN|GB(IFA2),BZN|FR,0.00
25/04/2021 22:00:00 - 25/04/2021 23:00:00,BZN|FR,BZN|GB(IFA2),0.00
25/04/2021 22:00:00 - 25/04/2021 23:00:00,BZN|GB(IFA2),BZN|FR,0.00
25/04/2021 23:00:00 - 26/04/2021 00:00:00,BZN|FR,BZN|GB(IFA2),0.00
25/04/2021 23:00:00 - 26/04/2021 00:00:00,BZN|GB(IFA2),BZN|FR,0.00
26/04/2021 00:00:00 - 26/04/2021 01:00:00,BZN|FR,BZN|GB(IFA2),0.00
26/04/2021 00:00:00 - 26/04/2021 01:00:00,BZN|GB(IFA2),BZN|FR,0.00
26/04/2021 01:00:00 - 26/04/2021 02:00:00,BZN|FR,BZN|GB(IFA2),0.00
26/04/2021 01:00:00 - 26/04/2021 02:00:00,BZN|GB(IFA2),BZN|FR,0.00
26/04/2021 02:00:00 - 26/04/2021 03:00:00,BZN|FR,BZN|GB(IFA2),0.00
26/04/2021 02:00:00 - 26/04/2021 03:00:00,BZN|GB(IFA2),BZN|FR,0.00
26/04/2021 03:00:00 - 26/04/2021 04:00:00,BZN|FR,BZN|GB(IFA2),0.00
26/04/2021 03:00:00 - 26/04/2021 04:00:00,BZN|GB(IFA2),BZN|FR,0.00
26/04/2021 04:00:00 - 26/04/2021 05:00:00,BZN|FR,BZN|GB(IFA2),0.00
26/04/2021 04:00:00 - 26/04/2021 05:00:00,BZN|GB(IFA2),BZN|FR,0.00
26/04/2021 05:00:00 - 26/04/2021 06:00:00,BZN|FR,BZN|GB(IFA2),0.00
26/04/2021 05:00:00 - 26/04/2021 06:00:00,BZN|GB(IFA2),BZN|FR,0.00
26/04/2021 06:00:00 - 26/04/2021 07:00:00,BZN|FR,BZN|GB(IFA2),0.00
26/04/2021 06:00:00 - 26/04/2021 07:00:00,BZN|GB(IFA2),BZN|FR,0.00
26/04/2021 07:00:00 - 26/04/2021 08:00:00,BZN|FR,BZN|GB(IFA2),0.00
26/04/2021 07:00:00 - 26/04/2021 08:00:00,BZN|GB(IFA2),BZN|FR,0.00
26/04/2021 08:00:00 - 26/04/2021 09:00:00,BZN|FR,BZN|GB(IFA2),0.00
26/04/2021 08:00:00 - 26/04/2021 09:00:00,BZN|GB(IFA2),BZN|FR,0.00
26/04/2021 09:00:00 - 26/04/2021 10:00:00,BZN|FR,BZN|GB(IFA2),0.00
26/04/2021 09:00:00 - 26/04/2021 10:00:00,BZN|GB(IFA2),BZN|FR,0.00
26/04/2021 10:00:00 - 26/04/2021 11:00:00,BZN|FR,BZN|GB(IFA2),0.00
26/04/2021 10:00:00 - 26/04/2021 11:00:00,BZN|GB(IFA2),BZN|FR,0.00
26/04/2021 11:00:00 - 26/04/2021 12:00:00,BZN|FR,BZN|GB(IFA2),0.00
26/04/2021 11:00:00 - 26/04/2021 12:00:00,BZN|GB(IFA2),BZN|FR,0.00
26/04/2021 12:00:00 - 26/04/2021 13:00:00,BZN|FR,BZN|GB(IFA2),0.00
26/04/2021 12:00:00 - 26/04/2021 13:00:00,BZN|GB(IFA2),BZN|FR,0.00
26/04/2021 13:00:00 - 26/04/2021 14:00:00,BZN|FR,BZN|GB(IFA2),0.00
26/04/2021 13:00:00 - 26/04/2021 14:00:00,BZN|GB(IFA2),BZN|FR,0.00
26/04/2021 14:00:00 - 26/04/2021 15:00:00,BZN|FR,BZN|GB(IFA2),0.00
26/04/2021 14:00:00 - 26/04/2021 15:00:00,BZN|GB(IFA2),BZN|FR,0.00
26/04/2021 15:00:00 - 26/04/2021 16:00:00,BZN|FR,BZN|GB(IFA2),0.00
26/04/2021 15:00:00 - 26/04/2021 16:00:00,BZN|GB(IFA2),BZN|FR,0.00
26/04/2021 16:00:00 - 26/04/2021 17:00:00,BZN|FR,BZN|GB(IFA2),0.00
26/04/2021 16:00:00 - 26/04/2021 17:00:00,BZN|GB(IFA2),BZN|FR,0.00
26/04/2021 17:00:00 - 26/04/2021 18:00:00,BZN|FR,BZN|GB(IFA2),0.00
26/04/2021 17:00:00 - 26/04/2021 18:00:00,BZN|GB(IFA2),BZN|FR,0.00
26/04/2021 18:00:00 - 26/04/2021 19:00:00,BZN|FR,BZN|GB(IFA2),0.00
26/04/2021 18:00:00 - 26/04/2021 19:00:00,BZN|GB(IFA2),BZN|FR,0.00
26/04/2021 19:00:00 - 26/04/2021 20:00:00,BZN|FR,BZN|GB(IFA2),0.00
26/04/2021 19:00:00 - 26/04/2021 20:00:00,BZN|GB(IFA2),BZN|FR,0.00
26/04/2021 20:00:00 - 26/04/2021 21:00:00,BZN|FR,BZN|GB(IFA2),0.00
26/04/2021 20:00:00 - 26/04/2021 21:00:00,BZN|GB(IFA2),BZN|FR,0.00
26/04/2021 21:00:00 - 26/04/2021 22:00:00,BZN|FR,BZN|GB(IFA2),0.00
26/04/2021 21:00:00 - 26/04/2021 22:00:00,BZN|GB(IFA2),BZN|FR,0.00
26/04/2021 22:00:00 - 26/04/2021 23:00:00,BZN|FR,BZN|GB(IFA2),0.00
26/04/2021 22:00:00 - 26/04/2021 23:00:00,BZN|GB(IFA2),BZN|FR,0.00
26/04/2021 23:00:00 - 27/04/2021 00:00:00,BZN|FR,BZN|GB(IFA2),0.00
26/04/2021 23:00:00 - 27/04/2021 00:00:00,BZN|GB(IFA2),BZN|FR,0.00
27/04/2021 00:00:00 - 27/04/2021 01:00:00,BZN|FR,BZN|GB(IFA2),0.00
27/04/2021 00:00:00 - 27/04/2021 01:00:00,BZN|GB(IFA2),BZN|FR,0.00
27/04/2021 01:00:00 - 27/04/2021 02:00:00,BZN|FR,BZN|GB(IFA2),0.00
27/04/2021 01:00:00 - 27/04/2021 02:00:00,BZN|GB(IFA2),BZN|FR,0.00
27/04/2021 02:00:00 - 27/04/2021 03:00:00,BZN|FR,BZN|GB(IFA2),0.00
27/04/2021 02:00:00 - 27/04/2021 03:00:00,BZN|GB(IFA2),BZN|FR,0.00
27/04/2021 03:00:00 - 27/04/2021 04:00:00,BZN|FR,BZN|GB(IFA2),0.00
27/04/2021 03:00:00 - 27/04/2021 04:00:00,BZN|GB(IFA2),BZN|FR,0.00
27/04/2021 04:00:00 - 27/04/2021 05:00:00,BZN|FR,BZN|GB(IFA2),0.00
27/04/2021 04:00:00 - 27/04/2021 05:00:00,BZN|GB(IFA2),BZN|FR,0.00
27/04/2021 05:00:00 - 27/04/2021 06:00:00,BZN|FR,BZN|GB(IFA2),0.00
27/04/2021 05:00:00 - 27/04/2021 06:00:00,BZN|GB(IFA2),BZN|FR,0.00
27/04/2021 06:00:00 - 27/04/2021 07:00:00,BZN|FR,BZN|GB(IFA2),0.00
27/04/2021 06:00:00 - 27/04/2021 07:00:00,BZN|GB(IFA2),BZN|FR,0.00
27/04/2021 07:00:00 - 27/04/2021 08:00:00,BZN|FR,BZN|GB(IFA2),0.00
27/04/2021 07:00:00 - 27/04/2021 08:00:00,BZN|GB(IFA2),BZN|FR,0.00
27/04/2021 08:00:00 - 27/04/2021 09:00:00,BZN|FR,BZN|GB(IFA2),0.00
27/04/2021 08:00:00 - 27/04/2021 09:00:00,BZN|GB(IFA2),BZN|FR,0.00
27/04/2021 09:00:00 - 27/04/2021 10:00:00,BZN|FR,BZN|GB(IFA2),0.00
27/04/2021 09:00:00 - 27/04/2021 10:00:00,BZN|GB(IFA2),BZN|FR,0.00
27/04/2021 10:00:00 - 27/04/2021 11:00:00,BZN|FR,BZN|GB(IFA2),0.00
27/04/2021 10:00:00 - 27/04/2021 11:00:00,BZN|GB(IFA2),BZN|FR,0.00
